LLP,Diesel Cost,Demand,PV energy,Renewable invesment cost,Genererator invesment cost,Battery invesment cost,LCOE,NPC
3.57,0.715,128208122.829654,417993.759568193,1.519,1.508,0.42,0.235796172153591,225808.63519427
1.74,0.871,68635646.7221124,500994.568547431,1.643,1.575,0.591,0.269350432182314,138087.911334694
3.6,0.475,145702617.80883,503823.180031419,1.714,1.475,0.415,0.180838540142422,196809.746037965
2.85,1.133,105671890.448763,417993.759568193,1.301,1.409,0.464,0.306544458560292,241958.676595815
0.56,0.386,120703373.658017,417993.759568193,1.643,1.509,0.411,0.163905584129912,147775.151222675
3.85,1.205,120703373.658017,498978.767180072,1.566,1.405,0.597,0.319662093936259,288203.202608075
2.12,0.895,120703373.658017,498978.767180072,1.362,1.453,0.535,0.258783730981076,233316.059258763
1.25,0.79,120443412.640707,503823.180031419,1.574,1.442,0.512,0.255648134072687,229992.63732327
3.67,0.776,136752178.826227,500994.568547431,1.363,1.573,0.441,0.231454248636653,236421.879481369
2.76,0.325,145702617.80883,503823.180031419,1.389,1.543,0.48,0.142023346234267,154566.491643952
1.42,0.785,128208122.829654,417993.759568193,1.449,1.583,0.494,0.251092454634394,240457.018325301
0.36,0.666,128208122.829654,417993.759568193,1.704,1.671,0.587,0.238320133191483,228225.689686905
2.68,0.347,120703373.658017,498978.767180072,1.721,1.361,0.465,0.147628933958556,133100.334295363
1.8,0.593,110326321.232038,503823.180031419,1.432,1.625,0.595,0.203106595490232,167375.318865041
1.61,1.04,110326321.232038,498978.767180072,1.762,1.341,0.582,0.295716250655775,243692.734977999
4.15,0.344,105671890.448763,498978.767180072,1.536,1.593,0.449,0.152346537919673,120248.680638761
0.05,0.567,128208122.829654,492204.23748792,1.455,1.439,0.52,0.196921092978239,188580.174310108
1.14,0.537,105671890.448763,498978.767180072,1.564,1.407,0.467,0.19274950902397,152139.158988451
0.47,1.197,84971598.4946137,503823.180031419,1.353,1.357,0.52,0.308419842133633,195751.163745199
1.1,1.219,128208122.829654,492204.23748792,1.404,1.32,0.521,0.309998999208843,296868.478752667
0.35,0.552,84971598.4946137,492204.23748792,1.785,1.514,0.471,0.205067254118669,130154.251302577
0.9,0.906,105671890.448763,492204.23748792,1.636,1.518,0.49,0.274086646466573,216339.393519305
4.35,0.696,136752178.826227,492204.23748792,1.478,1.337,0.546,0.217705728834826,222378.279457689
0.55,0.745,110326321.232038,417993.759568193,1.627,1.372,0.424,0.245201959419141,202065.107955026
4.21,0.9,120443412.640707,503823.180031419,1.648,1.691,0.535,0.278401765764836,250462.834692564
2.75,0.714,105671890.448763,503823.180031419,1.559,1.5,0.483,0.230228900840072,181722.026302481
1.16,0.806,110326321.232038,492204.23748792,1.664,1.388,0.578,0.249792713570598,205848.239359876
