,NPC,Households,PV output,LLP,Diesel Cost,Renewable invesment cost,Genererator invesment cost,Battery invesment cost,Battery operation cost,PV nominal capacity,Genset nominal capacity,Battery nominal capacity
823,247566.519764333,152,6,0.0267,0.819,1.614,1.543,0.533,3.53409090909091E-05,25470.0291970105,18417.6245569517,0
824,313364.771405577,176,0,0.0085,1.041,1.445,1.535,0.676,5.15909090909091E-05,34739.4457537385,21131.4378530433,8556.87772525499
825,201470.093905438,152,8,0.0227,0.581,1.582,1.694,0.666,5.04545454545455E-05,20205.5899277182,18767.4493081229,0
826,236808.232075574,164,7,0.0011,0.693,1.468,1.447,0.613,4.44318181818182E-05,29875.1009586007,23914.4971724881,0
827,159278.417741914,164,2,0.0371,0.393,1.363,1.625,0.466,2.77272727272727E-05,18094.4623025285,18869.4740413986,0
828,237792.32270188,164,4,0.0011,0.693,1.468,1.447,0.613,4.44318181818182E-05,30348.3721019577,24050.4496302358,0
829,202203.053389578,176,5,0.0418,0.543,1.33,1.411,0.584,4.11363636363636E-05,26029.0896005006,19475.7490266558,0
830,228695.777699912,176,7,0.0227,0.581,1.582,1.694,0.666,5.04545454545455E-05,23762.2106330612,21121.2032593545,0
831,156467.191831269,164,4,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,14880.7977227823,22606.7562245209,0
832,330329.907358653,176,5,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,46359.5655728447,13997.2634090889,64042.3298648167
833,155239.484042066,152,9,0.0371,0.393,1.363,1.625,0.466,2.77272727272727E-05,16383.7590460887,18008.7789026714,0
834,145357.788939813,152,8,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,12990.6605051417,21029.5604994306,0
835,321120.085919736,176,8,0.0085,1.041,1.445,1.535,0.676,5.15909090909091E-05,36752.9648079984,21623.3537740019,5853.08688983
836,150646.671555993,152,1,0.0371,0.393,1.363,1.625,0.466,2.77272727272727E-05,17244.6171714419,17667.0472661795,0
837,260585.95230175,164,1,0.0499,0.937,1.521,1.368,0.423,2.28409090909091E-05,36720.0953939485,13001.5529420142,45666.6926229437
838,151866.586193065,164,0,0.0122,0.323,1.658,1.588,0.551,3.73863636363636E-05,15109.8678924101,21917.2427536449,0
839,98970.0542284288,152,3,0.0333,0.186,1.779,1.494,0.517,3.35227272727273E-05,0,21879.2659025618,0
840,294414.167491425,152,5,0.0159,1.109,1.713,1.304,0.433,2.39772727272727E-05,37568.771986742,13204.5377808564,48465.450780755
841,274009.86950617,164,6,0.0499,0.937,1.521,1.368,0.423,2.28409090909091E-05,36741.9585971392,14793.5495333333,27062.7825859498
